Keyword,Search Volume (US),CPC (US),Categories,Commercial Potential,Filtering
crossbody bags for men,74000,$0.87,Clothing_&_Shoes,64380,PASSED
christmas tree shop,201000,$0.32,Home & Furnishings,64320,PASSED
colonoscopy preparation,110000,$0.57,Health_&_Wellness,62699.99999999999,PASSED
banana bread recipes,1000000,$0.06,Food_&_Drinks,60000,PASSED
wood wall paneling,60500,$0.98,Home_Furnishings,59290,PASSED
auto replacement keys,40500,$1.42,Vehicles_&_Transportation,57510,PASSED
jewish holiday,49500,$1.15,Reference,56924.99999999999,PASSED
salon centric,246000,$0.23,Beauty_&_Fragrance,56580,PASSED
african foods,49500,$1.14,Food_&_Drinks,56429.99999999999,PASSED
food truck for sale,110000,$0.49,Food_&_Drinks,53900,PASSED
paintings artworks,60500,$0.87,Arts_&_Entertainment,52635,PASSED
classical music,74000,$0.71,Arts_&_Entertainment,52540,PASSED
october birthstone,201000,$0.26,Beauty_&_Fragrance,52260,PASSED
ge appliance repair,14800,$3.44,Home_Improvement,50912,PASSED
golf clubs golf,201000,$0.25,Sports_&_Recreation,50250,PASSED
terra cotta,90500,$0.55,Lawn_&_Garden,49775.00000000001,PASSED
scholastic book clubs,60500,$0.80,Books_&_Literature,48400,PASSED
boating covers,22200,$2.17,Vehicles_&_Transportation,48174,PASSED
guitar chord chart,49500,$0.95,Arts_&_Entertainment,47025,PASSED
pileated woodpecker,74000,$0.63,Animals,46620,PASSED
goodwill industries,33100,$1.33,Financial_Services,44023,PASSED
tree of life,165000,$0.26,Health_&_Wellness,42900,PASSED
mangosteen fruit,110000,$0.39,Food_&_Drinks,42900,PASSED
purple martin,40500,$1.05,Animals,42525,PASSED
injectable vitamin b12,33100,$1.28,Health_&_Wellness,42368,PASSED
edgar allan poe poems,27100,$1.56,Books_&_Literature,42276,PASSED
rheem water heater,40500,$1.03,Home_Improvement,41715,PASSED
travelon bags,74000,$0.56,Travel,41440.00000000001,PASSED
sliders tv series,14800,$2.80,Arts_&_Entertainment,41440,PASSED
normal blood pressure,368000,$0.11,Health_&_Wellness,40480,PASSED
tucson electric power,22200,$1.82,Financial_Services,40404,PASSED
astrology zodiac signs,1000000,$0.04,Society_&_Culture,40000,PASSED
maltese puppies dogs,246000,$0.16,Animals,39360,PASSED
raspberry pi,201000,$0.19,Computers_&_Computing,38190,PASSED
skate board,201000,$0.19,Sports_&_Recreation,38190,PASSED
propane supplies,18100,$2.08,Home_Improvement,37648,PASSED
global tel link,49500,$0.75,Financial_Services,37125,PASSED
christian quotes,18100,$2.00,Arts_&_Entertainment,36200,PASSED
thanksgiving turkey,27100,$1.31,Food_&_Drinks,35501,PASSED
ukulele tabs,18100,$1.96,Arts_&_Entertainment,35476,PASSED
rose flower,27100,$1.28,Health_&_Wellness,34688,PASSED
fringe tv series,165000,$0.21,Arts_&_Entertainment,34650,PASSED
flavored water,27100,$1.27,Food_&_Drinks,34417,PASSED
football cleats,201000,$0.17,Clothing_&_Shoes,34170,PASSED
racing cars,74000,$0.46,Vehicles_&_Transportation,34040,PASSED
marine corp ranks,74000,$0.45,Business,33300,PASSED
maple syrup,60500,$0.53,Food_&_Drinks,32065,PASSED
pop up campers,90500,$0.35,Vehicles_&_Transportation,31674.999999999996,PASSED
cricut machine,165000,$0.19,Home_Furnishings,31350,PASSED
turning point,90500,$0.34,Arts_&_Entertainment,30770.000000000004,PASSED
hooker furniture,49500,$0.62,Home_Furnishings,30690,PASSED
golf cart rentals,33100,$0.92,Vehicles_&_Transportation,30452,PASSED
ceiling lights,74000,$0.41,Home_Furnishings,30340,PASSED
non alcoholic beverages,33100,$0.91,Food_&_Drinks,30121,PASSED
non alcoholic drinks,33100,$0.91,Food_&_Drinks,30121,PASSED
ragdoll cats,301000,$0.10,Animals,30100,PASSED
asian groceries,40500,$0.74,Food_&_Drinks,29970,PASSED
bicycle repair,27100,$1.10,Home_Improvement,29810.000000000004,PASSED
yorkshire terrier,165000,$0.18,Animals,29700,PASSED
yorkshire terrier dogs,165000,$0.18,Animals,29700,PASSED
tiny houses,246000,$0.12,Home_Improvement,29520,PASSED
robotic arm,14800,$1.99,Electronics,29452,PASSED
braille alphabet,27100,$1.08,Reference,29268.000000000004,PASSED
food network chefs,22200,$1.30,Celebrity_and_Media,28860,PASSED
mens big and tall clothing,14800,$1.94,Clothing_&_Shoes,28712,PASSED
annual universal pass,22200,$1.29,Business,28638,PASSED
dent scratch appliances,40500,$0.69,Home_Furnishings,27944.999999999996,PASSED
graduation stole,40500,$0.69,Clothing_&_Shoes,27944.999999999996,PASSED
tropical fruits,27100,$1.01,Food_&_Drinks,27371,PASSED
honey dew donuts,18100,$1.51,Food_&_Drinks,27331,PASSED
audubon society,18100,$1.51,Reference,27331,PASSED
suspension,60500,$0.45,Vehicles_&_Transportation,27225,PASSED
halal meats,40500,$0.65,Food_&_Drinks,26325,PASSED
american freight furniture,33100,$0.79,Home_Furnishings,26149,PASSED
comic strips,27100,$0.96,Arts_&_Entertainment,26016,PASSED
septic tank systems,18100,$1.42,Home_Improvement,25702,PASSED
instrument violin,135000,$0.19,Arts_&_Entertainment,25650,PASSED
windshield chip repair,18100,$1.41,Vehicles_&_Transportation,25521,PASSED
used cars honda civic,33100,$0.77,Vehicles_&_Transportation,25487,PASSED
french bulldog puppies,90500,$0.28,Animals,25340.000000000004,PASSED
korean drama,49500,$0.51,Arts_&_Entertainment,25245,PASSED
chocolate martini drink,27100,$0.93,Food_&_Drinks,25203,PASSED
ensure drink,74000,$0.34,Food_&_Drinks,25160,PASSED
prosecco wine,33100,$0.76,Food_&_Drinks,25156,PASSED
quill office supply,18100,$1.38,Office_Products,24977.999999999996,PASSED
second hand car parts,60500,$0.41,Vehicles_&_Transportation,24805,PASSED
batting cages,165000,$0.15,Sports_&_Recreation,24750,PASSED
community series,33100,$0.74,Society&_Culture,24494,PASSED
willow cricket,12100,$2.02,Animals,24442,PASSED
decomposed granite,27100,$0.90,Home_Improvement,24390,PASSED
munchkin cats,201000,$0.12,Animals,24120,PASSED
the apostles creed,22200,$1.08,Reference,23976,PASSED
hurricane shutters,14800,$1.62,Home_Improvement,23976,PASSED
chlorine tablets,33100,$0.72,Health_&_Wellness,23832,PASSED
aluminum siding,14800,$1.56,Home_Improvement,23088,PASSED
safety pins,60500,$0.38,Home_Kitchenware,22990,PASSED
costco paper towels,9900,$2.32,Kitchen_&_Housewares,22968,PASSED
silver coin,27100,$0.84,Financial_Services,22764,PASSED
refurbished ipads,40500,$0.56,Electronics,22680.000000000004,PASSED
activities for toddlers,18100,$1.23,Kids_&_Teens_Lifestyle,22263,PASSED
cheap furniture,33100,$0.67,Home_Furnishings,22177,PASSED
snowmobile for sale,14800,$1.48,Vehicles_&_Transportation,21904,PASSED
railroad cross ties,60500,$0.36,Tools_&_Hardware,21780,PASSED
leopard gecko,165000,$0.13,Animals,21450,PASSED
sign language alphabet,165000,$0.13,Education,21450,PASSED
silver coin silver,27100,$0.79,Financial_Services,21409,PASSED
smart board,33100,$0.64,Education,21184,PASSED
hardie board siding,40500,$0.52,Home_Improvement,21060,PASSED
electric dryers,40500,$0.52,Home_Furnishings,21060,PASSED
quills office supplies,18100,$1.16,Office_Products,20996,PASSED
love poetry,110000,$0.19,Arts_&_Entertainment,20900,PASSED
heirloom seeds,27100,$0.77,Lawn_&_Garden,20867,PASSED
monk tv series,33100,$0.63,Arts_&_Entertainment,20853,PASSED
king crab legs,49500,$0.42,Food_&_Drinks,20790,PASSED
forest river rv,27100,$0.76,Vehicles_&_Transportation,20596,PASSED
aaa batteries,33100,$0.62,Electronics,20522,PASSED
la hija del mariachi,9900,$2.06,Arts_&_Entertainment,20394,PASSED
barilla pasta,18100,$1.10,Food_&_Drinks,19910,PASSED
teacup yorkie,90500,$0.22,Animals,19910,PASSED
living well,90500,$0.22,Health_&_Wellness,19910,PASSED
best kids movies,33100,$0.60,Kids_&_Teens_Lifestyle,19860,PASSED
great america tickets,22200,$0.89,Travel,19758,PASSED
pipe organs,12100,$1.62,Arts_&_Entertainment,19602,PASSED
arreglos florales,27100,$0.72,Beauty_&_Fragrance,19512,PASSED
pilates workouts,18100,$1.07,Health_&_Wellness,19367,PASSED
funny stories,12100,$1.60,Arts_&_Entertainment,19360,PASSED
wood burning stoves,74000,$0.26,Home_Improvement,19240,PASSED
lavender plants,74000,$0.26,Lawn_&_Garden,19240,PASSED
gooseneck trailers,33100,$0.58,Vehicles_&_Transportation,19198,PASSED
used furniture near me,90500,$0.21,Home_Furnishings,19005,PASSED
rooms go furniture,18100,$1.05,Home_Furnishings,19005,PASSED
dirt track racing,12100,$1.57,Sports_&_Recreation,18997,PASSED
steering wheel covers,49500,$0.38,Vehicles_&_Transportation,18810,PASSED
international delight,12100,$1.55,Food_&_Drinks,18755,PASSED
automatic transmissions,18100,$1.03,Vehicles_&_Transportation,18643,PASSED
alloy wheel repair,18100,$1.03,Vehicles_&_Transportation,18643,PASSED
underwear for men,18100,$1.02,Clothing_&_Shoes,18462,PASSED
church chairs,8100,$2.25,Home_Furnishings,18225,PASSED
louisiana crawfish,8100,$2.25,Food_&_Drinks,18225,PASSED
tattoo supply,22200,$0.82,Tools_&_Hardware,18204,PASSED
pellet stove pellets,90500,$0.20,Home_Improvement,18100,PASSED
used campervans for sale,33100,$0.54,Vehicles_&_Transportation,17874,PASSED
shower curtain rod,33100,$0.54,Home_Furnishings,17874,PASSED
shopping carts,60500,$0.29,Supermarket,17545,PASSED
natural light beer,9900,$1.76,Food_&_Drinks,17424,PASSED
motorhomes for sale,49500,$0.35,Vehicles_&_Transportation,17325,PASSED
mechanical pencils,49500,$0.35,Office_Products,17325,PASSED
typing practice,90500,$0.19,Office_Products,17195,PASSED
truck bed tool box,90500,$0.19,Tools_&_Hardware,17195,PASSED
bags for women,14800,$1.15,Clothing_&_Shoes,17020,PASSED
care package,18100,$0.93,Home_Furnishings,16833,PASSED
hush puppy shoes,33100,$0.50,Clothing_&_Shoes,16550,PASSED
inspirational quotations,550000,$0.03,Arts_&_Entertainment,16500,PASSED
big o lots furniture,165000,$0.10,Home_Furnishings,16500,PASSED
chi garage doors,8100,$2.03,Home_Improvement,16443,PASSED
butcher block countertops,49500,$0.33,Home_Furnishings,16335,PASSED
power wheels,90500,$0.18,Toys,16290,PASSED
sweet honey,14800,$1.10,Food_&_Drinks,16280.000000000002,PASSED
toys toys toys,1300,$12.52,Toys,16276,PASSED
wheelchair rental,33100,$0.49,Health_&_Wellness,16219,PASSED
electric golf carts,18100,$0.89,Vehicles_&_Transportation,16109,PASSED
korean food,201000,$0.08,Food_&_Drinks,16080,PASSED
security alarm systems,1900,$8.41,Home_Improvement,15979,PASSED
fireplace screen,49500,$0.32,Home_Improvement,15840,PASSED
outboard motors engines,22200,$0.71,Vehicles_&_Transportation,15762,PASSED
designing women,60500,$0.26,Arts_&_Entertainment,15730,PASSED
new york times bestseller,74000,$0.21,Books_&_Literature,15540,PASSED
satellite phone,74000,$0.21,Vehicles_&_Transportation,15540,PASSED
cargo trailers,27100,$0.57,Vehicles_&_Transportation,15446.999999999998,PASSED
saucony running shoes,49500,$0.31,Clothing_&_Shoes,15345,PASSED
arhaus furniture outlet,14800,$1.03,Home_Furnishings,15244,PASSED
backpack blower stihl,27100,$0.56,Home_Improvement,15176.000000000002,PASSED
glass stained glass,60500,$0.25,Arts_&_Entertainment,15125,PASSED
precast concrete,12100,$1.25,Home_Improvement,15125,PASSED
wax warmers,40500,$0.37,Home_Furnishings,14985,PASSED
christian christmas songs,9900,$1.51,Arts_&_Entertainment,14949,PASSED
anime store,33100,$0.45,Arts_&_Entertainment,14895,PASSED
body massages,22200,$0.67,Health_&_Wellness,14874,PASSED
semi inground pool,22200,$0.67,Home_Improvement,14874,PASSED
wooden nickel,22200,$0.66,Home_Furnishings,14652,PASSED
tractors for sale,40500,$0.36,Vehicles_&_Transportation,14580,PASSED
upholstery fabrics,40500,$0.36,Home_Furnishings,14580,PASSED
neilmed sinus rinse,40500,$0.36,Health_&_Wellness,14580,PASSED
bird feeder with camera,33100,$0.44,Home_Improvement,14564,PASSED
rainwater barrels,60500,$0.24,Lawn_&_Garden,14520,PASSED
kangol hats,60500,$0.24,Clothing_&_Shoes,14520,PASSED
tommy bahamas shirts,14800,$0.98,Clothing_&_Shoes,14504,PASSED
spark plug cross reference,9900,$1.46,Tools_&_Hardware,14454,PASSED
parmesan crusted chicken,49500,$0.29,Food_&_Drinks,14354.999999999998,PASSED
soccer shoes,49500,$0.29,Clothing_&_Shoes,14354.999999999998,PASSED
toy haulers,33100,$0.43,Vehicles_&_Transportation,14233,PASSED
pottery painting,33100,$0.43,Arts_&_Entertainment,14233,PASSED
teardrop campers,74000,$0.19,Vehicles_&_Transportation,14060,PASSED
custom license plate,33100,$0.42,Vehicles_&_Transportation,13902,PASSED
family handyman,6600,$2.10,Home_Improvement,13860,PASSED
cornell lab of ornithology,9900,$1.40,Science,13860,PASSED
football card,40500,$0.34,Collectibles,13770.000000000002,PASSED
doll houses,40500,$0.34,Home_Improvement,13770.000000000002,PASSED
army officer ranks,40500,$0.34,Reference,13770.000000000002,PASSED
floating dock,14800,$0.93,Home_Improvement,13764,PASSED
dance songs,18100,$0.75,Arts_&_Entertainment,13575,PASSED
pampers diapers,27100,$0.50,Health_&_Wellness,13550,PASSED
passiflora plants,22200,$0.61,Health_&_Wellness,13542,PASSED
costco tire prices,22200,$0.61,Vehicles_&_Transportation,13542,PASSED
silicone bracelets,6600,$2.05,Beauty_&_Fragrance,13529.999999999998,PASSED
jalousie window,12100,$1.11,Home_Improvement,13431.000000000002,PASSED
international truck,40500,$0.33,Vehicles_&_Transportation,13365,PASSED
brake calipers,49500,$0.27,Vehicles_&_Transportation,13365,PASSED
trane furnace,6600,$2.00,Home_Improvement,13200,PASSED
conex container,9900,$1.33,Home_Improvement,13167,PASSED
emergency tv show,18100,$0.72,Arts_&_Entertainment,13032,PASSED
electric boats,27100,$0.48,Vehicles_&_Transportation,13008,PASSED
dyson service centers,14800,$0.86,Vehicles_&_Transportation,12728,PASSED
1980s fashion men,60500,$0.21,Clothing_&_Shoes,12705,PASSED
32 inch televisions,60500,$0.21,Electronics,12705,PASSED
iphone replacement battery,33100,$0.38,Electronics,12578,PASSED
remanufactured engine,9900,$1.27,Vehicles_&_Transportation,12573,PASSED
craftsman lawn mower,40500,$0.31,Home_Improvement,12555,PASSED
caterpillar boots,27100,$0.46,Clothing_&_Shoes,12466,PASSED
used golf buggy,22200,$0.56,Vehicles_&_Transportation,12432.000000000002,PASSED
car accessories car,49500,$0.25,Vehicles_&_Transportation,12375,PASSED
cancer color ribbons,18100,$0.68,Health_&_Wellness,12308,PASSED
chair exercise for seniors,22200,$0.55,Health_&_Wellness,12210.000000000002,PASSED
screen door,135000,$0.09,Home_Improvement,12150,PASSED
belt buckles belt buckles,60500,$0.20,Clothing_&_Shoes,12100,PASSED
better than bouillon,60500,$0.20,Food_&_Drinks,12100,PASSED
freshwater eel,8100,$1.48,Health_&_Wellness,11988,PASSED
domino magazine,5400,$2.20,Arts_&_Entertainment,11880.000000000002,PASSED
union jack union jack,49500,$0.24,Arts_&_Entertainment,11880,PASSED
sheet metal,49500,$0.24,Tools_&_Hardware,11880,PASSED
front entrance doors,9900,$1.19,Home_Improvement,11781,PASSED
macy furniture outlet,18100,$0.65,Home_Furnishings,11765,PASSED
new balance women shoes,90500,$0.13,Clothing_&_Shoes,11765,PASSED
copper pennies,18100,$0.65,Home_Improvement,11765,PASSED
jolly ranchers,90500,$0.13,Food_&_Drinks,11765,PASSED
large bust swimwear,14800,$0.79,Beauty_&_Fragrance,11692,PASSED
barber supply,27100,$0.43,Tools_&_Hardware,11653,PASSED
farmers home furniture,27100,$0.43,Home_Furnishings,11653,PASSED
storage boxes,33100,$0.35,Home_Furnishings,11585,PASSED
massage oils,33100,$0.35,Beauty_&_Fragrance,11585,PASSED
storage box,33100,$0.35,Home_Furnishings,11585,PASSED
jackson perkins roses,6600,$1.75,Home_Improvement,11550,PASSED
six sigma black belt,6600,$1.74,Business,11484,PASSED
wood crafts,14800,$0.77,Home_Improvement,11396,PASSED
chains snow tires,40500,$0.28,Vehicles_&_Transportation,11340.000000000002,PASSED
food trailers,22200,$0.51,Food_&_Drinks,11322,PASSED
camouflage shorts,22200,$0.51,Clothing_&_Shoes,11322,PASSED
thank you cards,18100,$0.61,Home_Furnishings,11041,PASSED
tap drill size chart,8100,$1.36,Tools_&_Hardware,11016,PASSED
5 languages of love,550000,$0.02,Health_&_Wellness,11000,PASSED
kids & toys,40500,$0.27,Toys,10935,PASSED
nutramigen formula,49500,$0.22,Health_&_Wellness,10890,PASSED
english springer spaniels,60500,$0.18,Animals,10890,PASSED
slide in truck campers,49500,$0.22,Vehicles_&_Transportation,10890,PASSED
teacup poodles,60500,$0.18,Animals,10890,PASSED
automotive paint supplies,18100,$0.60,Tools_&_Hardware,10860,PASSED
car paint supplies,18100,$0.60,Tools_&_Hardware,10860,PASSED
grass fed butter,14800,$0.73,Food_&_Drinks,10804,PASSED
poolside chairs,14800,$0.73,Home_Furnishings,10804,PASSED
snap on dentures,6600,$1.63,Health_&_Wellness,10758,PASSED
ryder truck,6600,$1.63,Vehicles_&_Transportation,10758,PASSED
car cleaning detailing,8100,$1.31,Home_Improvement,10611,PASSED
head gasket replacement,9900,$1.07,Vehicles_&_Transportation,10593,PASSED
wooden shed,27100,$0.39,Home_Improvement,10569,PASSED
praise worship songs,27100,$0.39,Arts_&_Entertainment,10569,PASSED
jelly belly,40500,$0.26,Food_&_Drinks,10530,PASSED
jos a bank clothing,6600,$1.59,Clothing_&_Shoes,10494,PASSED
potassium sorbate,22200,$0.47,Health_&_Wellness,10434,PASSED
sea dragons,49500,$0.21,Animals,10395,PASSED
action figures,49500,$0.21,Toys,10395,PASSED
dump trucks,74000,$0.14,Vehicles_&_Transportation,10360.000000000002,PASSED
chain link fence,74000,$0.14,Home_Improvement,10360.000000000002,PASSED
american cocker spaniel,33100,$0.31,Animals,10261,PASSED
peliculas mexicanas,14800,$0.69,Arts_&_Entertainment,10212,PASSED
sod cutters,22200,$0.46,Home_Improvement,10212,PASSED
adapter ac adapter,22200,$0.46,Electronics,10212,PASSED
lds scriptures,8100,$1.26,Reference,10206,PASSED
cabernet sauvignon wine,12100,$0.84,Food_&_Drinks,10164,PASSED
mobile home for sale,40500,$0.25,Real_Estate,10125,PASSED
salon equipment,6600,$1.53,Business,10098,PASSED
silicone baby,36000,$0.28,Health_&Wells,10080.000000000002,PASSED
rhodesian ridgebacks,201000,$0.05,Animals,10050,PASSED
glass block windows,12100,$0.83,Home_Improvement,10043,PASSED
wholesale flowers,27100,$0.37,Food_&_Drinks,10027,PASSED
spanner wrench,27100,$0.37,Tools_&_Hardware,10027,PASSED
mini bike minibike,90500,$0.11,Vehicles_&_Transportation,9955,PASSED
wooden boxes,33100,$0.30,Home_Furnishings,9930,PASSED
calamine lotion,110000,$0.09,Health_&_Wellness,9900,PASSED
beef short ribs,49500,$0.20,Food_&_Drinks,9900,PASSED
balinese cats,49500,$0.20,Animals,9900,PASSED
cats for adoption,110000,$0.09,Animals,9900,PASSED
moped vespa,49500,$0.20,Vehicles_&_Transportation,9900,PASSED
stanley thermos,49500,$0.20,Home_Furnishings,9900,PASSED
phonetic alphabet,246000,$0.04,Reference,9840,PASSED
scleral lenses,12100,$0.81,Health_&_Wellness,9801,PASSED
feeler gauges,18100,$0.54,Tools_&_Hardware,9774,PASSED
patch panel,14800,$0.66,Computers_&_Computing,9768,PASSED
fishing rods fishing,60500,$0.16,Home_Improvement,9680,PASSED
springer spaniel,74000,$0.13,Animals,9620,PASSED
motor controller,5400,$1.78,Electronics,9612,PASSED
phones without contract,2900,$3.31,Business,9599,PASSED
mannington flooring,9900,$0.96,Home_Improvement,9504,PASSED
copper price per pound,27100,$0.35,Financial_Services,9485,PASSED
double wide trailers,27100,$0.35,Home_Improvement,9485,PASSED
baseball minnesota twins,18100,$0.52,Arts_&_Entertainment,9412,PASSED
golf magazine,8100,$1.16,Arts_&_Entertainment,9396,PASSED
bible timeline chart,5400,$1.74,Reference,9396,PASSED
tracfone phones,22200,$0.42,Vehicles_&_Transportation,9324,PASSED
garage door torsion springs,8100,$1.15,Home_Improvement,9315,PASSED
home house plans,33100,$0.28,Home_Furnishings,9268,PASSED
billiard tables for sale,33100,$0.28,Home_Improvement,9268,PASSED
pbs kid games,4400,$2.10,Arts_&_Entertainment,9240,PASSED
flower girl baskets,11000,$0.84,Beauty_&_Fragrance,9240,PASSED
seatbelt seat belt,27100,$0.34,Vehicles_&_Transportation,9214,PASSED
rockwool insulation,22200,$0.41,Home_Improvement,9102,PASSED
paneling for walls,90500,$0.10,Home_Improvement,9050,PASSED
leather repair kit,18100,$0.50,Tools_&_Hardware,9050,PASSED
phones sale,2900,$3.10,Electronics,8990,PASSED
embroidery designs,33100,$0.27,Arts_&_Entertainment,8937,PASSED
blink charging stations,40500,$0.22,Electronics,8910,PASSED
terracotta pots,40500,$0.22,Home_Improvement,8910,PASSED
science projects,9900,$0.89,Science,8811,PASSED
lighted magnifying glass,18100,$0.48,Office_Products,8688,PASSED
brick veneer,18100,$0.48,Home_Improvement,8688,PASSED
20 gallon fish tank,27100,$0.32,Home_Improvement,8672,PASSED
chocolate covered pretzels,33100,$0.26,Food_&_Drinks,8606,PASSED
chi overhead doors,5400,$1.59,Home_Improvement,8586,PASSED
indian wedding sarees,18100,$0.47,Clothing_&_Shoes,8507,PASSED
accordion doors,40500,$0.21,Home_Improvement,8505,PASSED
long haired chihuahua,60500,$0.14,Animals,8470,PASSED
recliner stressless,12100,$0.70,Home_Furnishings,8470,PASSED
vera bradley patterns,3600,$2.35,Home_Furnishings,8460,PASSED
shoelaces shoe laces,14800,$0.57,Clothing_&_Shoes,8436,PASSED
leather repair,14800,$0.57,Home_Improvement,8436,PASSED
cassette tapes,49500,$0.17,Music,8415,PASSED
laptop computer charger,9900,$0.83,Electronics,8217,PASSED
japanese snacks,22200,$0.37,Food_&_Drinks,8214,PASSED
aluminum fencing panels,8100,$1.01,Home_Improvement,8181,PASSED
birdie golf,18100,$0.45,Sports_&_Recreation,8145,PASSED
meyer lemon trees,18100,$0.45,Home_Furnishings,8145,PASSED
tennis ball machines,14800,$0.55,Sports_&_Recreation,8140.000000000001,PASSED
modern prefab homes,14800,$0.55,Home_Improvement,8140.000000000001,PASSED
rod parsley,8100,$1.00,Food_&_Drinks,8100,PASSED
zucchini recipes,201000,$0.04,Food_&_Drinks,8040,PASSED
skechers for women shoes,18100,$0.44,Clothing_&_Shoes,7964,PASSED
police auctions,33100,$0.24,Financial_Services,7944,PASSED
miniature golden retriever,49500,$0.16,Animals,7920,PASSED
office trailers,4400,$1.80,Home_Improvement,7920,PASSED
pinball machines,60500,$0.13,Arts_&_Entertainment,7865,PASSED
ladies pirate costume,27100,$0.29,Arts_&_Entertainment,7858.999999999999,PASSED
compressed air can,14800,$0.53,Home_Improvement,7844,PASSED
consignment furniture,14800,$0.53,Home_Furnishings,7844,PASSED
beef steaks,18100,$0.43,Food_&_Drinks,7783,PASSED
camper shells for trucks,22200,$0.35,Vehicles_&_Transportation,7769.999999999999,PASSED
camper shells for pickups,22200,$0.35,Vehicles_&_Transportation,7769.999999999999,PASSED
4 post automotive lifts,14800,$0.52,Home_Improvement,7696,PASSED
automobile car parts,14800,$0.52,Vehicles_&_Transportation,7696,PASSED
sluice gate,3600,$2.12,Home_Improvement,7632,PASSED
microscope parts,12100,$0.63,Tools_&_Hardware,7623,PASSED
ge dishwasher parts,8100,$0.93,Home_Furnishings,7533,PASSED
panels fencing,74000,$0.10,Home_Improvement,7400,PASSED
rock landscaping,5400,$1.37,Home_Improvement,7398.000000000001,PASSED
natural spring water,6600,$1.11,Food_&_Drinks,7326.000000000001,PASSED
crochet hooks,27100,$0.27,Home_Furnishings,7317.000000000001,PASSED
nashville television show,27100,$0.27,Arts_&_Entertainment,7317.000000000001,PASSED
crystal light,40500,$0.18,Food_&_Drinks,7290,PASSED
family medical supply,8100,$0.90,Health_&_Wellness,7290,PASSED
